model,fraction,n,predicted_mean,observed_mean,random_reference,observed_oracle_ceiling
lgbm,1.0,2160,0.5663970753169519,0.5808721599709448,0.5808721599709448,0.5808721599709448
lgbm,0.5,1080,0.7010379030656133,0.6994405195825044,0.5808721599709448,0.8054852930397388
lgbm,0.25,540,0.7590234355378829,0.7248113027361048,0.5808721599709448,0.8295426473043442
lgbm,0.1,216,0.7942619913570331,0.7461249726859417,0.5808721599709448,0.8359468943750343
lgbm,0.05,108,0.8102256282252421,0.7487746234765216,0.5808721599709448,0.8394097268854277
lgbm,0.02,43,0.8248401217273029,0.7538348622359935,0.5808721599709448,0.8429674683465832
monroe,1.0,2160,0.5462179398772146,0.5808721599709448,0.5808721599709448,0.5808721599709448
monroe,0.5,1080,0.7275381750899151,0.722613190637527,0.5808721599709448,0.8054852930397388
monroe,0.25,540,0.7876367694486767,0.7518812366627974,0.5808721599709448,0.8295426473043442
monroe,0.1,216,0.8129030096865032,0.7895851291543947,0.5808721599709448,0.8359468943750343
monroe,0.05,108,0.8199909653296831,0.8038427602335415,0.5808721599709448,0.8394097268854277
monroe,0.02,43,0.8244694788571962,0.8114494331304962,0.5808721599709448,0.8429674683465832
chemeleon,1.0,2160,0.5898043153504825,0.5808721599709448,0.5808721599709448,0.5808721599709448
chemeleon,0.5,1080,0.7534704573191076,0.7180880052404347,0.5808721599709448,0.8054852930397388
chemeleon,0.25,540,0.7948760344317575,0.7571009730456231,0.5808721599709448,0.8295426473043442
chemeleon,0.1,216,0.8211991017356253,0.7748995919210655,0.5808721599709448,0.8359468943750343
chemeleon,0.05,108,0.8317884898252488,0.7889378901263462,0.5808721599709448,0.8394097268854277
chemeleon,0.02,43,0.8423559785762913,0.7954765463177793,0.5808721599709448,0.8429674683465832
